Date,AAPL,AXP,BA,CAT,CSCO,CVX,DD,DIS,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,RTX,TRV,UNH,V,VZ,WBA,WMT,XOM
21/10/2016,27.29821014,62.53831863,124.7901459,75.79852295,25.80495453,81.18838501,68.87369537,88.40609741,160.3341064,112.6033783,112.7099152,30.70772171,99.38404846,59.75524521,35.76994705,100.6638489,146.0904999,50.14266586,55.19914246,49.05787659,25.03478432,73.13614655,55.04970169,96.26232147,134.7085266,79.56105804,38.5879631,70.20269012,61.56036758,66.11904144
24/10/2016,27.54403687,62.28763199,126.4646835,75.49998474,26.07028008,80.67542267,69.05194092,88.72918701,160.7472076,113.652916,113.4180069,30.80381012,99.53296661,60.08678436,36.13504028,100.3457642,147.6160431,49.77396774,56.43896103,49.1526413,24.99588203,72.9366684,55.5239296,96.90200806,134.0783997,80.353302,38.59597778,71.5280838,62.32605362,66.34040833
25/10/2016,27.68450165,61.96269226,127.9091949,74.17419434,25.96757126,80.76360321,68.88642883,88.13999176,161.1419067,109.7038116,113.6514816,30.66404152,99.83961487,60.02572632,36.11805344,99.59476471,143.2720947,50.75715637,56.42970657,48.37560654,25.11257935,75.42571259,56.55051041,96.8664856,133.2351074,79.25190735,38.29976273,70.96004486,62.4791832,66.19538116
26/10/2016,27.0617466,62.01839447,133.9080811,73.86688232,26.14731216,81.10020447,68.44083405,88.8432312,162.5372009,109.1434631,114.3520432,30.50678825,100.3652649,60.31361008,36.03315353,99.05578613,143.5134277,49.87229538,56.0966301,49.24739838,25.20593071,75.79864502,56.35522842,96.67990875,131.7988129,78.98140717,38.13162994,70.83097076,62.68637466,66.47779846
27/10/2016,26.80187798,62.13910294,131.8563538,72.88353729,26.00180435,80.08235931,69.45931244,89.34687805,163.1613159,108.7432175,115.5120621,30.41069603,101.364006,60.40087891,35.76144409,99.02928925,142.8669739,50.21640396,55.60625076,49.1715889,25.26817131,75.0874939,55.83078384,95.9691391,131.5300751,79.14562988,38.86016846,70.71047974,62.90255737,66.34802246
28/10/2016,26.62394524,61.69345474,131.5803223,73.6473999,26.18154144,83.20807648,68.64453125,89.18532562,162.6013641,109.9172668,114.9546585,30.34954262,101.039856,60.2961731,35.8548584,99.04693604,142.8756561,48.20905685,55.39344406,49.2947731,24.84029198,75.31298065,56.81829834,96.3334198,130.0567017,79.43547821,38.59597778,69.79818726,63.04669189,64.71452332
31/10/2016,26.58180618,61.66558838,131.0466614,73.27862549,26.25856972,83.95341492,68.50448608,88.08299255,163.611145,108.5208435,115.7681503,30.46310806,101.6180725,60.42705154,35.99919128,99.46220398,142.4705658,48.11074448,55.43969727,47.55117416,24.66914749,75.27828979,57.01914215,96.11129761,130.9648132,79.71565247,38.50790024,71.2010498,63.07369232,63.60006332
01/11/2016,26.10186577,61.50777435,131.0282898,72.20747375,26.08739281,85.33995819,68.46630859,87.7979126,163.4458923,106.6352234,115.0902252,30.15735054,101.0486145,60.17403412,35.76144409,99.17946625,141.5655975,48.58594513,55.32868195,47.02051544,24.17124176,75.32165527,56.91314316,94.38772583,129.2041473,78.85580444,38.15565872,70.96866608,62.4251442,63.85195541
02/11/2016,26.12527847,60.76502991,129.5009308,71.21529388,26.01036263,84.46635437,68.23714447,87.3417511,162.0873566,106.9909973,114.4574661,30.22722626,100.6281128,59.92102051,35.70203018,99.30317688,142.8411255,48.20905685,54.98634338,47.11527252,23.82894707,75.22624207,56.65091705,93.83690643,128.7871399,77.85101318,37.57922363,70.5125351,62.56025314,63.6993103
03/11/2016,25.84525108,60.65361786,128.8292694,71.35577393,25.95045662,84.46635437,67.80429077,88.72918701,161.7477264,106.8931732,114.77388,29.86632919,100.7770309,59.65926743,35.68504333,98.71118927,143.7892456,47.87314224,54.78278732,47.12475204,23.25325394,75.10482788,56.3775444,93.92575073,127.7214966,77.91864014,37.52319717,69.522789,62.72239304,63.85961914
04/11/2016,25.61227798,60.82073212,128.3876343,72.2689209,25.83918762,83.97746277,67.63880157,87.8549118,161.4815521,107.54245,114.8190689,29.58465576,100.8471146,59.11834335,35.39637375,98.11036682,143.4875641,48.19267654,54.3201828,47.34269714,23.33882904,73.78660583,56.53375244,92.99286652,127.6103363,77.63848114,37.69132233,69.15270996,62.2990303,63.79092407
