Date,AAPL,MSFT,AMZN,GOOGL
18/07/2011,11.44582176,21.26615524,211.5299988,297.7677612
19/07/2011,11.53921509,22.02594757,218.0599976,301.5765686
20/07/2011,11.84695053,21.64205551,215.5500031,297.9729614
21/07/2011,11.85889053,21.67404556,213.2100067,303.7987976
22/07/2011,12.04292011,22.01794624,216.5200043,309.4244385
25/07/2011,12.20214462,22.32186508,213.4900055,309.7998047
26/07/2011,12.35248852,22.45782852,214.1799927,311.5715637
27/07/2011,12.02117729,21.85799217,222.5200043,303.9139099
28/07/2011,11.9975996,22.16990662,223.8999939,305.7757874
29/07/2011,11.95656967,21.91397476,222.5200043,302.1471558
01/08/2011,12.14855957,21.81001091,221.3200073,303.6886902
02/08/2011,11.90849495,21.43411064,211.6999969,296.4964905
03/08/2011,12.02056789,21.53007889,209.9600067,300.8858948
04/08/2011,11.55513668,20.74629974,201.4799957,289.0490417
05/08/2011,11.44031239,20.53835297,202.6999969,289.8098145
08/08/2011,10.81535625,19.578619,193.6999969,273.2832947
09/08/2011,11.45225334,20.45837593,205.0899963,286.9920044
10/08/2011,11.13625526,19.35468292,194.1300049,274.7797852
11/08/2011,11.44276428,20.1464653,198.3600006,281.346344
12/08/2011,11.54350471,20.07448578,202.3000031,282.1671753
15/08/2011,11.74008751,20.40239334,202.9499969,278.8938904
16/08/2011,11.65036678,20.40239334,197.6799927,269.7697754
17/08/2011,11.64914322,20.32190895,195.9299927,266.8418274
18/08/2011,11.20851707,19.85511017,182.5200043,252.692688
19/08/2011,10.90170288,19.35611534,178.9299927,245.7057037
22/08/2011,10.91425705,19.29977608,177.5399933,249.3343353
23/08/2011,11.43970013,19.89536095,193.5500031,259.6696777
24/08/2011,11.51870155,20.04022217,193.7299957,261.9069214
25/08/2011,11.44337654,19.77462769,192.0299988,260.2802734
26/08/2011,11.7452898,20.32190895,199.2700043,263.6936951
29/08/2011,11.9409523,20.79675865,206.5299988,269.8098145
30/08/2011,11.94156265,21.11063766,210.9199982,270.620636
31/08/2011,11.78356647,21.40842438,215.2299957,270.7507629
01/09/2011,11.66720772,21.09454536,212.5399933,266.51651
02/09/2011,11.45348167,20.76456451,210,262.6826782
06/09/2011,11.62771034,20.53116417,216.1799927,261.3513489
07/09/2011,11.75600719,20.9255352,219.8999939,267.2822876
08/09/2011,11.76243591,21.10259247,217.2599945,267.7477417
09/09/2011,11.55850887,20.71627617,211.3899994,262.6876831
12/09/2011,11.63383389,20.83699989,216.5599976,265.3253174
13/09/2011,11.7771349,20.95772743,219.5299988,265.0250244
14/09/2011,11.92043781,21.32794189,222.5700073,266.3013
15/09/2011,12.03250694,21.72230721,226.7799988,271.5515442
16/09/2011,12.26338482,21.82694244,239.3000031,273.6136169
19/09/2011,12.6041851,21.8993721,241.6900024,273.6086121
20/09/2011,12.65991497,21.7142601,233.25,273.5885925
21/09/2011,12.61980057,20.91748238,231.8699951,269.869873
22/09/2011,12.30379963,20.16899109,223.2299957,260.5905762
23/09/2011,12.37974262,20.16899109,223.6100006,263.0180054
26/09/2011,12.34514141,20.47483253,229.8500061,266.2112122
27/09/2011,12.22541428,20.65994072,224.2100067,269.9399414
28/09/2011,12.15651798,20.58749962,229.7100067,264.6846924
29/09/2011,11.95932293,20.48287392,222.4400024,264.0140076
30/09/2011,11.67608929,20.03216934,216.2299957,257.777771
03/10/2011,11.47031879,19.74244118,211.9799957,248.0080109
04/10/2011,11.40601635,20.39434052,212.5,251.2012024
05/10/2011,11.5820837,20.83699989,219.5,252.6026001
06/10/2011,11.55513668,21.19916725,221.5099945,257.6126099
07/10/2011,11.32334518,21.12673759,224.7400055,257.8178101
10/10/2011,11.90543461,21.68206978,231.3200073,268.8538513
11/10/2011,12.25695419,21.73036194,235.4799957,271.8618469
12/10/2011,12.31513214,21.69816017,236.8099976,274.5245361
13/10/2011,12.50619984,21.8752327,236.1499939,279.7747803
14/10/2011,12.92171574,21.94767189,246.7100067,296.1361389
17/10/2011,12.86017036,21.7142601,242.3300018,291.4964905
18/10/2011,12.92906761,21.97985458,243.8800049,295.5505371
19/10/2011,12.20581722,21.83499146,231.5299988,290.6406555
20/10/2011,12.10446167,21.76255798,233.6100006,292.1271362
21/10/2011,12.02975082,21.85913277,234.7799988,295.5405273
24/10/2011,12.42474937,21.88327789,237.6100006,298.5085144
25/10/2011,12.17978954,21.57744598,227.1499939,291.8718872
26/10/2011,12.26644421,21.40038109,198.3999939,293.4484558
27/10/2011,12.39167881,21.93156624,206.7799988,299.6346436
28/10/2011,12.3996439,21.7142601,217.3200073,300.3703613
31/10/2011,12.39443684,21.43257332,213.5099945,296.6166077
01/11/2011,12.14121056,20.91748238,212.1000061,289.614624
02/11/2011,12.16876698,20.9335804,215.6199951,292.7026978
03/11/2011,12.34207726,21.35209084,218.2899933,299.0490417
04/11/2011,12.25542068,21.12673759,216.4799957,298.3683777
07/11/2011,12.23980427,21.56939316,217,304.4694824
08/11/2011,12.43883514,21.85913277,217.9900055,306.4764709
09/11/2011,12.10354424,21.08649445,211.2200012,300.7757874
10/11/2011,11.79550934,21.15088272,210.7899933,297.8378296
11/11/2011,11.7771349,21.65792656,217.3899994,304.4794922
14/11/2011,11.61301136,21.5371933,218.9299927,306.8067932
